ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
761,10,112.0,95,31.7167
765,6,2215.0,96,610.9802
763,1,10.0,95,10.0
764,9,770.0,95,137.01
766,10,901.0,96,243.0467
767,7,21260.0,96,3300.45
769,9,4355.0,96,849.1
773,1,107.0,96,107.0
768,12,261.0,96,81.599
770,11,511.0,96,120.0935
756,1,1.0,94,1.0
771,8,743.0,96,177.64
772,14,53.0,96,12.5
775,7,49813.0,97,8111.615
774,5,345.0,96,75.99
776,6,6318.0,97,2061.39
777,11,1324.0,97,324.7327
779,10,2513.0,97,603.1366
778,12,565.0,97,197.349
780,9,9271.0,97,1752.72
781,8,3339.0,97,807.31
782,5,1651.0,97,229.17
783,1,115.0,97,115.0
785,9,3153.0,98,582.42
786,6,3695.0,98,969.26
787,12,406.0,98,130.099
795,11,399.0,99,99.1108
796,10,1026.0,99,258.4158
797,7,18449.0,99,3067.585
798,9,4596.0,99,907.68
788,11,436.0,98,101.4065
800,12,142.0,99,47.52
799,6,1799.0,99,545.5804
802,1,114.0,99,114.0
789,7,22489.0,98,3604.96
801,5,827.0,99,199.16
804,6,7233.0,100,2038.9794
803,8,537.0,99,89.63
808,12,711.0,100,248.228
805,9,12380.0,100,2245.98
806,1,316.0,100,316.0
807,7,70733.0,100,11911.56
809,10,2673.0,100,638.434
814,7,87882.8334,101,12913.2234
811,11,1281.0,100,321.8081
790,10,1007.0,98,242.2717
810,8,3049.0,100,562.34
812,5,3091.0,100,722.67
815,11,2987.0,101,694.3594
791,1,26.0,98,26.0
813,14,30.0,100,9.0
816,6,9453.0,101,3043.2679
826,7,9521.0,102,1492.15
817,9,17490.0,101,3190.73
827,9,1320.0,102,237.76
828,8,679.0,102,125.39
829,12,86.0,102,25.258
830,11,294.0,102,62.23
818,10,4304.0,101,922.607
831,6,528.0,102,214.7401
819,12,1089.0,101,352.148
820,14,323.0,101,91.93
833,1,20.0,102,20.0
832,10,246.0,102,57.97
834,14,12.0,102,5.0
835,10,463.0,103,105.63
836,12,87.0,103,26.396
837,9,1639.0,103,315.58
838,6,162.0,103,92.02
839,7,5324.0,103,831.2
821,8,6896.0,101,1380.91
840,11,159.0,103,32.5
844,12,296.0,104,109.938
845,6,4777.0,104,1408.11
841,5,235.0,103,53.5
846,9,7295.0,104,1470.1888
847,7,27973.0,104,4489.9505
856,9,3749.0,105,697.21
857,6,2827.0,105,622.48
867,7,26111.0,106,4132.66
848,10,1604.0,104,343.873
868,9,4526.0,106,769.42
858,7,20295.0,105,3172.7
859,11,481.0,105,113.42
